City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
227,Sauk Rapids,US,45.59,-94.17,64.4,68,1,16.11,clear sky
228,Atasu,KZ,48.68,71.64,46.63,71,71,4.29,broken clouds
229,Okhotsk,RU,59.38,143.3,45.77,84,100,34.58,light rain
230,Bud,US,39.45,-86.18,66.99,82,1,5.82,clear sky
231,Ahuimanu,US,21.44,-157.84,87.8,69,40,11.41,scattered clouds
232,Santo Estevao,BR,-12.43,-39.25,74.7,80,80,8.7,broken clouds
233,Tomatlan,MX,19.93,-105.25,76.64,90,70,1.86,broken clouds
234,Leningradskiy,RU,69.38,178.42,28.04,98,100,1.74,light snow
235,Longyearbyen,SJ,78.22,15.64,24.8,62,75,4.7,broken clouds
236,Senges,BR,-24.11,-49.46,57.99,99,1,1.99,clear sky
237,Kisangani,CD,0.52,25.2,70.79,98,100,3.29,light rain
238,Ballina,AU,-28.87,153.57,78.8,57,40,13.87,scattered clouds
239,Agadez,NE,19.75,10.25,76.14,28,0,8.39,clear sky
240,Kirovskiy,RU,45.09,133.51,51.82,55,78,4.94,broken clouds
241,Tilichiki,RU,60.47,166.1,36.19,71,0,11.65,clear sky
242,Leesburg,US,39.12,-77.56,64.99,95,100,4.0,overcast clouds
243,Andenes,NO,69.31,16.12,44.6,75,93,9.17,overcast clouds
244,Ribeira Grande,PT,38.52,-28.7,68.14,68,20,12.21,few clouds
245,Zhuhai,CN,22.28,113.57,84.2,78,20,13.87,few clouds
246,Havoysund,NO,71.0,24.66,39.2,100,75,9.17,shower rain
247,Qasigiannguit,GL,68.82,-51.19,37.4,89,98,4.7,overcast clouds
248,Lubana,LV,56.9,26.72,49.48,97,100,4.43,overcast clouds
249,Port Arthur,CN,38.8,121.27,59.0,33,0,8.95,clear sky
250,Amapa,BR,1.0,-52.0,74.59,81,1,3.96,clear sky
251,Qujing,CN,25.48,103.78,61.59,67,9,5.68,clear sky
252,Saskylakh,RU,71.92,114.08,17.51,95,77,8.41,broken clouds
253,Tabou,CI,4.42,-7.35,76.35,88,49,7.81,light rain
254,Casablanca,MA,33.59,-7.62,68.0,100,0,3.36,fog
255,Rovaniemi,FI,66.5,25.72,42.8,100,90,6.93,mist
256,Siraha,NP,26.65,86.21,83.12,65,0,2.26,clear sky
257,Moron,AR,-34.65,-58.62,57.99,83,0,1.99,clear sky
258,Cuamba,MZ,-14.8,36.54,67.06,93,0,0.89,clear sky
259,Falmouth,GB,50.15,-5.07,46.99,93,94,1.12,overcast clouds
260,Puerto Rico,AR,-26.8,-55.02,62.22,50,0,1.34,clear sky
261,Hervey Bay,AU,-25.3,152.85,82.0,39,100,13.87,overcast clouds
262,Faanui,PF,-16.48,-151.75,78.76,80,36,15.99,scattered clouds
263,Bressuire,FR,46.92,-0.5,41.0,93,0,4.94,clear sky
264,Broome,US,42.25,-75.83,57.0,66,90,6.93,overcast clouds
265,Jalu,LY,29.03,21.55,70.29,48,95,7.61,overcast clouds
266,Nampa,US,43.54,-116.56,55.99,50,66,5.82,broken clouds
267,Tiznit,MA,29.58,-9.5,74.01,26,65,0.83,broken clouds
268,Bathsheba,BB,13.22,-59.52,80.6,83,75,4.7,shower rain
269,Atar,MR,20.52,-13.05,88.43,22,0,5.84,clear sky
270,Kampong Cham,KH,11.99,105.46,79.09,86,92,8.7,overcast clouds
271,Saint-Prosper,CA,46.21,-70.48,30.99,100,0,1.01,clear sky
272,San Carlos De Bariloche,AR,-41.15,-71.31,50.0,39,22,5.14,few clouds
273,Ossora,RU,59.24,163.07,41.13,63,1,2.55,clear sky
274,Hinton,CA,53.4,-117.59,34.92,78,23,2.06,few clouds
275,Kinsale,IE,51.71,-8.53,54.0,100,75,4.7,fog
276,Mount Isa,AU,-20.73,139.5,93.2,12,51,8.05,broken clouds
277,Yertsevo,RU,60.8,40.09,43.66,95,100,4.54,overcast clouds
278,Caconda,AO,-13.73,15.07,55.96,82,0,1.32,clear sky
279,Delano,US,35.77,-119.25,73.4,46,0,5.79,clear sky
280,East London,ZA,-33.02,27.91,54.32,69,1,5.23,clear sky
281,Dinkelsbuhl,DE,49.07,10.32,39.0,100,75,4.7,broken clouds
282,Malaga,ES,36.72,-4.42,62.01,87,16,4.7,few clouds
283,Tateyama,JP,34.98,139.87,78.01,78,75,16.11,broken clouds
284,San Cristobal,VE,7.77,-72.22,66.4,88,98,3.38,light rain
285,Benguela,AO,-12.58,13.41,70.72,80,9,2.28,clear sky
286,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,90,11.41,overcast clouds
287,Ulladulla,AU,-35.35,150.47,71.6,60,40,10.29,scattered clouds
288,Brae,GB,60.4,-1.35,46.4,87,100,4.7,overcast clouds
